Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,is
você,you
e,and
eu,me
um,one
para,for
está,it is
uma,an
se,if
com,with
por,per
ele,it
isso,that
em,in
do,of
me,me
mas,but
como,like
bem,good
da,gives
no,at the
os,the
ela,she
na,at
sim,Yes
aqui,on here
mais,more
tem,have
meu,my
seu,your
muito,much
foi,was
as,at
vai,go
sua,your
estou,I am
vamos,we will
tudo,all
minha,my
só,only
então,So
pode,can
agora,now
vou,I'm going
ser,to be
quando,When
fazer,do
sei,know
eles,they
nós,we
tenho,have
te,you
estava,was
certo,right
quer,would you like
sabe,You know
já,already
era,was
nos,we
quem,who
ou,or
ao,to
nada,nothing
disse,said
há,there is
lá,there
onde,Where
quero,I want
bom,good
ter,Tue
sou,am
são,are
dizer,tell
posso,I can
acho,think
sobre,on
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,They are
algo,something
até,up until
tempo,time
assim,like this
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,That
à,The
ver,to see
também,also
pra,for
ainda,still
tão,So
dos,From
cara,guy
favor,favor
ir,go
melhor,best
noite,night
sem,without
temos,we have
obrigado,thank you
dia,day
talvez,perhaps
pai,dad
estamos,we are
esta,it is
deus,God
alguém,someone
mãe,mother
vida,life
senhor,Mr
este,This one
isto,this
sempre,ever
anos,years
vez,turn
verdade,truth
seus,their
dele,his
ficar,stay
parece,looks
oh,oh
claro,clear
depois,after
tinha,had
falar,speak
coisas,stuff
antes,before
pessoas,people
pouco,little
pelo,fur
preciso,need
apenas,only
homem,man
deve,should
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
faz,does
acha,think
fez,did
aí,there
fora,out
estar,be
qual,which
disso,of this
trabalho,job
precisa,need
das,of
hoje,today
ninguém,nobody
novo,New
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,to know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I
seja,be
nossa,Wow
poderia,could
dinheiro,money
suas,your
será,it will be
nome,name
quanto,how much
qualquer,any
pela,through the
outro,other
vá,go
lhe,you
dela,her
nosso,our
oi,Hi
meus,my
desculpe,excuse me
filho,son
certeza,assurance
vão,vain
